date,area,rooms,floor,total_floors,year_built,orientation,district,subdistrict,community,price_per_sqm,total_price,dist_metro_m,school_rank,lat,lon,neigh_price,source
2015-05-16,52.1,3,16,17,2002,南,海淀区,zhongguancun,紫金庄园,53338,2776743,100,0,39.96751789951788,116.29456659846647,50118,realistic_mock
2015-05-17,100.1,2,5,20,2008,南北,海淀区,xierqi,万柳书院,71158,7122315,401,0,39.9607176202993,116.2983837176001,74786,realistic_mock
2015-05-17,58.7,2,15,26,2018,东西,海淀区,shoujingmao,博雅西园,67022,3935926,100,0,39.94530575958383,116.29772051027754,73806,realistic_mock
2015-05-20,104.4,3,23,24,2008,北,海淀区,shoujingmao,郦城,78678,8212748,126,0,39.93143658998447,116.26107794744084,73147,realistic_mock
2015-05-20,106.7,3,13,25,2018,北,海淀区,wudaokou,当代城市家园,56063,5982171,100,0,39.956775491031365,116.2682001229437,56259,realistic_mock
2015-05-26,72.0,3,7,15,1998,北,海淀区,haidian,当代城市家园,67442,4858553,100,0,39.9454366887748,116.25917902804972,69956,realistic_mock
2015-05-27,95.3,3,22,23,1998,东南,海淀区,shoujingmao,涧桥泊屋,65356,6229407,100,0,39.94875297544601,116.29052426622812,62552,realistic_mock
2015-05-28,71.6,2,6,11,2018,北,海淀区,zhongguancun,观山园,62560,4481435,118,0,39.95963887334832,116.27187251820533,60732,realistic_mock
2015-05-28,94.6,1,24,25,2012,东西,海淀区,shangdi,橡树湾,61711,5839003,172,0,39.966479211870876,116.28968223666422,56853,realistic_mock
2015-05-29,40.0,2,5,14,2008,东南,海淀区,haidian,曙光花园,64872,2594882,1034,0,39.95232019758113,116.30258450931477,64783,realistic_mock
2015-05-29,100.7,4,16,28,2005,北,海淀区,haidian,上地东里,72704,7323388,533,0,39.950062414219076,116.28436563197731,69031,realistic_mock
2015-06-02,80.4,1,18,30,2008,东南,海淀区,haidian,当代城市家园,65335,5251658,657,0,39.92099236695739,116.26120847389143,67698,realistic_mock
2015-06-03,112.3,3,18,19,2002,西南,海淀区,wudaokou,万城华府,75795,8512956,100,0,39.92233579779954,116.25216112909749,71025,realistic_mock
2015-06-04,115.9,2,21,22,2018,南北,海淀区,zhongguancun,博雅西园,68263,7912388,349,0,39.92895266887779,116.30025821932098,64737,realistic_mock
2015-06-09,103.9,4,8,25,2008,东西,海淀区,shoujingmao,世纪城,64421,6691206,1329,0,39.975842673339955,116.29573395372265,57208,realistic_mock
2015-06-09,56.3,2,15,17,1998,南,海淀区,wudaokou,世纪城,61183,3444657,238,0,39.957574689365785,116.25878238399534,55425,realistic_mock
2015-06-10,89.9,3,7,28,2008,南北,海淀区,shoujingmao,万城华府,57650,5184589,773,0,39.930659354471175,116.28192483424097,53297,realistic_mock
2015-06-11,102.4,2,1,11,2005,北,海淀区,shoujingmao,上地东里,56858,5822042,209,0,39.96193316510703,116.30425011297287,53738,realistic_mock
2015-06-16,91.4,2,18,19,2012,南北,海淀区,shangdi,曙光花园,67277,6148955,100,0,39.972678702949985,116.2661513843684,67073,realistic_mock
2015-06-24,99.8,2,12,13,2012,西南,海淀区,wudaokou,涧桥泊屋,60428,6031070,563,0,39.944087229218226,116.27058142636689,69754,realistic_mock
2015-06-26,111.4,1,23,30,2002,西南,海淀区,xierqi,涧桥泊屋,65802,7328813,272,0,39.95721672902605,116.28265200012682,61888,realistic_mock
2015-06-28,95.3,3,24,25,2005,南,海淀区,zhongguancun,美丽园,59524,5672489,1450,0,39.94790057105159,116.30084327583428,63626,realistic_mock
2015-06-28,47.5,4,13,30,2008,东西,海淀区,shangdi,上地东里,75875,3600912,100,0,39.954659686203186,116.27146879678216,78613,realistic_mock
2015-06-29,76.1,3,2,30,2012,南,海淀区,haidian,上地东里,57557,4378757,100,0,39.97197397221606,116.2766510368753,63258,realistic_mock
2015-06-30,79.7,3,8,23,2012,东西,海淀区,wudaokou,涧桥泊屋,72044,5743469,433,0,39.93949249202596,116.28097899369968,62226,realistic_mock
2015-07-05,98.5,2,22,27,2020,南北,海淀区,wudaokou,观山园,76935,7579891,100,0,39.94037438847249,116.27011339081281,77472,realistic_mock
2015-07-08,121.3,2,5,16,2018,北,海淀区,wudaokou,曙光花园,66246,8037095,790,0,39.97196214050275,116.25059464172946,65184,realistic_mock
2015-07-08,120.6,3,25,26,2008,西南,海淀区,shangdi,上地东里,76535,9228185,560,0,39.97733836770341,116.29632537143287,84037,realistic_mock
2015-07-10,49.1,2,9,18,1998,东南,海淀区,haidian,美丽园,62110,3050129,297,0,39.978441873498326,116.30468724020729,60063,realistic_mock
2015-07-12,92.9,2,3,29,1998,南北,海淀区,zhongguancun,上地西里,71077,6603910,188,0,39.92837821289767,116.26263501321772,75671,realistic_mock
2015-07-12,74.5,3,5,11,2005,北,海淀区,zhongguancun,万城华府,63014,4694807,159,0,39.948817329187435,116.30061033232757,69346,realistic_mock
2015-07-13,83.1,1,20,22,2005,南北,海淀区,wudaokou,涧桥泊屋,73998,6148698,801,0,39.95604752896038,116.29205194183463,78309,realistic_mock
2015-07-14,102.8,3,6,30,2018,北,海淀区,shangdi,曙光花园,76734,7886030,404,0,39.939470708010525,116.26617071173754,79721,realistic_mock
2015-07-19,118.2,3,18,19,2008,西南,海淀区,shangdi,万柳书院,72411,8561055,536,0,39.97922052501854,116.28761849270414,76392,realistic_mock
2015-07-23,134.1,3,27,28,1998,东南,海淀区,zhongguancun,世纪城,67440,9040609,900,0,39.92705343494726,116.3094133520769,71209,realistic_mock
2015-07-26,94.0,1,13,28,2005,东西,海淀区,shoujingmao,郦城,59489,5592443,892,0,39.95802392030346,116.26333746322977,55412,realistic_mock
2015-07-27,76.3,4,13,14,1998,东西,海淀区,wudaokou,橡树湾,74511,5684809,252,0,39.948090858785896,116.29216466232718,67297,realistic_mock
2015-07-30,105.5,3,19,20,2015,北,海淀区,wudaokou,博雅西园,76617,8085794,316,0,39.950357933781206,116.26334118115263,70982,realistic_mock
2015-08-01,104.3,2,17,19,2020,南,海淀区,zhongguancun,上地西里,62572,6524946,488,0,39.93361223097989,116.29771722268784,68553,realistic_mock
2015-08-01,101.7,2,5,16,2018,东西,海淀区,haidian,世纪城,74525,7581976,245,0,39.96061860513866,116.27983445087284,73147,realistic_mock
2015-08-02,89.3,2,2,15,2012,西南,海淀区,shoujingmao,博雅西园,67560,6033439,100,0,39.963267941441416,116.26102707990647,68659,realistic_mock
2015-08-04,82.9,2,8,28,2015,东南,海淀区,haidian,当代城市家园,68306,5661298,345,0,39.951644137230204,116.25962304803062,73270,realistic_mock
2015-08-05,91.1,3,9,10,2018,西南,海淀区,shangdi,华清嘉园,64261,5856842,428,0,39.958494114001105,116.25153418794538,66305,realistic_mock
2015-08-06,82.2,3,14,15,1998,南北,海淀区,haidian,华清嘉园,62988,5175881,100,0,39.97789988350058,116.28763757805449,61512,realistic_mock
2015-08-07,60.3,1,23,24,2002,北,海淀区,shoujingmao,博雅西园,66581,4016923,176,0,39.9779596245445,116.30781297596346,73592,realistic_mock
2015-08-11,157.0,1,21,22,2018,东南,海淀区,shoujingmao,华清嘉园,64018,10047887,678,0,39.92404307328714,116.27324355514013,62538,realistic_mock
2015-08-11,87.4,2,9,28,2020,东西,海淀区,shangdi,博雅西园,65896,5759355,355,0,39.93654115381416,116.26051345754196,61536,realistic_mock
2015-08-17,104.6,2,6,23,2020,北,海淀区,haidian,华清嘉园,63431,6635117,100,0,39.979990954669184,116.25013104857143,58653,realistic_mock
2015-08-18,80.7,1,2,7,2008,西南,海淀区,haidian,当代城市家园,74033,5972772,409,0,39.93869917499928,116.28151909586704,72279,realistic_mock
2015-08-21,92.5,2,2,9,2002,东西,海淀区,shoujingmao,世纪城,69288,6408446,100,0,39.965713747531275,116.2559753188997,61670,realistic_mock
2015-08-24,99.4,3,15,16,2002,东南,海淀区,wudaokou,当代城市家园,61377,6103467,1179,0,39.96601093386907,116.26609723202567,60279,realistic_mock
2015-08-25,88.4,2,9,13,2002,西南,海淀区,wudaokou,紫金庄园,57108,5047946,100,0,39.958703250066165,116.2753022360732,62623,realistic_mock
2015-08-27,79.7,1,12,16,2018,东南,海淀区,zhongguancun,博雅西园,49811,3970620,1456,0,39.952651919750224,116.26651435086222,57286,realistic_mock
2015-08-27,73.4,2,15,16,2020,南北,海淀区,zhongguancun,上地西里,75941,5572134,217,0,39.94510944585712,116.25230573511868,76977,realistic_mock
2015-08-31,133.3,3,9,12,2008,北,海淀区,haidian,万城华府,68378,9114984,524,0,39.95715036412195,116.26119839638787,78809,realistic_mock
2015-09-01,90.1,2,7,8,1998,南,海淀区,xierqi,万柳书院,62027,5590525,639,0,39.954138202025675,116.30359239531305,55190,realistic_mock
2015-09-02,74.2,3,14,22,2020,东南,海淀区,shoujingmao,世纪城,65301,4848242,567,0,39.957071549243736,116.29721940500309,69241,realistic_mock
2015-09-10,95.7,4,20,21,1998,南北,海淀区,haidian,观山园,63958,6123599,100,0,39.923585996458485,116.25106289457054,64928,realistic_mock
2015-09-12,116.4,4,23,24,2015,北,海淀区,xierqi,当代城市家园,73519,8559950,100,0,39.94057212437165,116.29639852021185,74725,realistic_mock
2015-09-14,108.9,1,25,26,1998,西南,海淀区,xierqi,博雅西园,54732,5958867,407,0,39.927742184533365,116.27581898568255,53685,realistic_mock
2015-09-14,74.0,3,5,14,2018,东南,海淀区,haidian,橡树湾,75327,5571429,380,0,39.92531628283818,116.27925766858003,74511,realistic_mock
2015-09-16,44.2,2,16,17,2012,南北,海淀区,wudaokou,紫金庄园,72947,3227214,364,0,39.92200301610718,116.27182158748536,66531,realistic_mock
2015-09-16,93.8,2,19,26,2015,南,海淀区,haidian,观山园,70966,6659991,1019,0,39.96544814304339,116.29390231636339,71249,realistic_mock
2015-09-22,110.1,2,9,17,2008,南,海淀区,haidian,上地西里,74795,8234925,100,0,39.952442597294976,116.27701676897188,74265,realistic_mock
2015-09-22,87.7,3,3,6,2012,东西,海淀区,shangdi,上地西里,69085,6061279,146,0,39.926115914406836,116.25376329545408,76024,realistic_mock
2015-09-24,156.1,2,27,28,2002,北,海淀区,shoujingmao,观山园,61807,9648707,245,0,39.9222788937974,116.29475160231762,58415,realistic_mock
2015-09-24,85.7,1,14,27,2018,东西,海淀区,haidian,博雅西园,62984,5396965,858,0,39.95462251171941,116.27124117828193,65598,realistic_mock
2015-09-25,87.8,4,17,18,2005,东西,海淀区,shangdi,当代城市家园,63089,5538398,275,0,39.95170020273873,116.25243600611523,64198,realistic_mock
2015-09-26,90.8,4,2,9,2012,南北,海淀区,wudaokou,郦城,64452,5852660,591,0,39.958266839139114,116.2878635598911,59596,realistic_mock
2015-09-27,116.3,3,18,19,2020,东南,海淀区,shoujingmao,博雅西园,91320,10623557,1495,0,39.96633918160243,116.30738517733066,93333,realistic_mock
2015-09-28,98.8,4,10,11,2020,南北,海淀区,shoujingmao,万柳书院,72608,7171908,163,0,39.97059556883887,116.25163725903903,73981,realistic_mock
2015-10-05,92.8,1,23,24,2012,北,海淀区,zhongguancun,世纪城,67080,6222169,1961,0,39.92937209047584,116.30930525963781,66049,realistic_mock
2015-10-13,86.5,4,20,21,2012,西南,海淀区,haidian,万城华府,67704,5853391,1768,0,39.9204850805918,116.2762493664518,65021,realistic_mock
2015-10-18,107.2,1,18,19,2012,西南,海淀区,zhongguancun,当代城市家园,60642,6503015,301,0,39.960703513130184,116.28556625645221,55502,realistic_mock
2015-10-22,71.2,2,6,16,1998,南北,海淀区,wudaokou,曙光花园,61575,4382858,439,0,39.967243221605145,116.27726072538407,60227,realistic_mock
2015-10-30,100.5,4,20,21,2008,南北,海淀区,shangdi,当代城市家园,72459,7282907,103,0,39.97987797798847,116.27586511307155,71880,realistic_mock
2015-11-03,83.0,3,7,18,2005,东西,海淀区,haidian,世纪城,71825,5958793,248,0,39.93676654533416,116.26385798089296,72234,realistic_mock
2015-11-04,92.3,4,4,31,2012,东西,海淀区,xierqi,世纪城,64338,5939821,228,0,39.96766884907122,116.2666877493292,67233,realistic_mock
2015-11-08,116.5,2,3,9,2020,东南,海淀区,shangdi,上地东里,56982,6640803,1058,0,39.93496707601715,116.26899566720459,54107,realistic_mock
2015-11-09,74.7,2,13,14,2002,西南,海淀区,wudaokou,博雅西园,78477,5864663,361,0,39.97319572649015,116.27465655314101,76902,realistic_mock
2015-11-11,69.2,4,23,31,2020,东南,海淀区,xierqi,博雅西园,70711,4891183,296,0,39.9247486800967,116.25706059075871,73319,realistic_mock
2015-11-20,96.5,3,11,12,1998,东南,海淀区,wudaokou,万柳书院,67766,6540281,375,0,39.978254282687,116.27241633957205,64237,realistic_mock
2015-11-23,82.2,2,3,24,2012,东西,海淀区,shangdi,涧桥泊屋,67526,5549062,198,0,39.944036655427844,116.28994634526364,67158,realistic_mock
2015-11-24,72.6,2,10,23,2015,东西,海淀区,xierqi,涧桥泊屋,70110,5091106,157,0,39.956815051091354,116.2531294338512,71591,realistic_mock
2015-11-25,126.3,3,2,21,1998,西南,海淀区,zhongguancun,橡树湾,76878,9710606,636,0,39.965241382095705,116.25215632049529,83412,realistic_mock
2015-11-28,62.2,3,13,14,2018,南,海淀区,shangdi,美丽园,65835,4092829,585,0,39.93329883887706,116.266169403008,60944,realistic_mock
2015-11-29,97.3,2,23,25,2012,南,海淀区,wudaokou,美丽园,81380,7916248,464,0,39.944995533667054,116.28891162160946,86037,realistic_mock
2015-12-02,92.1,3,11,14,2008,北,海淀区,wudaokou,美丽园,64684,5955330,131,0,39.97995897609139,116.26608069003117,62142,realistic_mock
2015-12-04,84.0,1,9,24,2018,东南,海淀区,xierqi,曙光花园,65297,5486760,421,0,39.957255714048706,116.27114249679659,64782,realistic_mock
2015-12-08,62.0,2,23,29,2015,北,海淀区,zhongguancun,郦城,62178,3857726,106,0,39.940705024730796,116.25180623233268,62867,realistic_mock
2015-12-10,70.1,1,26,27,1998,北,海淀区,wudaokou,世纪城,67217,4711995,219,0,39.95394509385348,116.2719270890792,70823,realistic_mock
2015-12-14,85.5,2,14,15,2015,南,海淀区,shoujingmao,博雅西园,80991,6922003,240,0,39.94128371340381,116.27404225001007,72022,realistic_mock
2015-12-15,107.7,3,20,21,2005,东南,海淀区,wudaokou,华清嘉园,69579,7493227,100,0,39.97525087086895,116.28699901887124,69130,realistic_mock
2015-12-16,109.3,2,4,31,1998,南北,海淀区,shangdi,郦城,57769,6315752,297,0,39.96254277570335,116.25641261538568,60524,realistic_mock
2015-12-21,109.7,3,15,25,2020,东南,海淀区,zhongguancun,橡树湾,74861,8211464,409,0,39.97541616007868,116.29697930143594,71224,realistic_mock
2015-12-22,119.9,1,10,30,2008,东南,海淀区,shangdi,上地西里,68194,8178292,1083,0,39.92479656261101,116.27275280488243,66969,realistic_mock
2015-12-22,62.7,3,16,18,2008,南,海淀区,zhongguancun,涧桥泊屋,64166,4024099,543,0,39.952819751020314,116.26539760823492,65574,realistic_mock
2015-12-24,121.1,2,1,15,2012,南,海淀区,xierqi,郦城,63754,7723306,880,0,39.93871633292941,116.25254584423492,70448,realistic_mock
2015-12-27,112.1,2,27,28,2012,东西,海淀区,zhongguancun,当代城市家园,70584,7911233,100,0,39.974489236593655,116.28213050333787,72460,realistic_mock
2015-12-28,68.6,3,5,20,2020,东西,海淀区,zhongguancun,上地西里,70991,4869473,852,0,39.936674125834934,116.26163723203607,74839,realistic_mock
2015-12-30,93.0,2,22,31,2005,东西,海淀区,haidian,华清嘉园,65801,6119040,100,0,39.96925119828168,116.26654377821885,62532,realistic_mock
2015-12-31,97.1,3,15,16,2018,西南,海淀区,shangdi,上地西里,65040,6317928,149,0,39.9353628539063,116.25184740297962,61068,realistic_mock
2015-12-31,40.0,2,17,18,2002,北,海淀区,haidian,郦城,66786,2671468,144,0,39.93556009383903,116.2616774302023,72925,realistic_mock
2015-12-31,90.7,4,13,16,2008,南,海淀区,xierqi,万城华府,84629,7672900,117,0,39.9715082151559,116.2827834280327,75172,realistic_mock
2016-01-06,118.6,2,8,14,2018,东南,海淀区,xierqi,紫金庄园,64750,7677299,1190,0,39.976462058227376,116.26085244229328,62667,realistic_mock
2016-01-06,40.0,3,6,26,2020,南北,海淀区,shoujingmao,曙光花园,75546,3021859,399,0,39.95162300938956,116.28495202664645,77180,realistic_mock
