date,area,rooms,floor,year_built,price_per_sqm,total_price,district,source
2015-01-14,66.6,2,12,2000,41982,2796418,海淀区,public_trend_based
2015-01-14,119.6,3,22,2010,58815,7032499,海淀区,public_trend_based
2015-01-27,67.0,3,17,2010,50378,3374231,海淀区,public_trend_based
2015-01-03,71.0,3,15,2015,63702,4520864,海淀区,public_trend_based
2015-01-20,75.8,1,10,2015,47440,3596461,海淀区,public_trend_based
2015-01-09,98.3,1,9,2005,43207,4245811,海淀区,public_trend_based
2015-01-22,75.8,2,15,2000,49949,3785658,海淀区,public_trend_based
2015-01-18,104.1,2,21,2010,39269,4087437,海淀区,public_trend_based
2015-01-27,125.3,1,14,2020,49739,6230650,海淀区,public_trend_based
2015-01-14,88.2,1,3,2005,42279,3728004,海淀区,public_trend_based
2015-01-07,117.8,2,20,2010,50441,5941425,海淀区,public_trend_based
2015-01-07,86.6,1,20,2015,48712,4217017,海淀区,public_trend_based
2015-01-20,122.5,2,17,2010,55221,6762890,海淀区,public_trend_based
2015-02-23,55.4,3,17,2000,46596,2581581,海淀区,public_trend_based
2015-02-14,80.0,2,6,2015,50670,4052077,海淀区,public_trend_based
2015-02-18,65.9,2,3,1995,43462,2863650,海淀区,public_trend_based
2015-02-27,66.3,2,12,2000,51836,3439232,海淀区,public_trend_based
2015-02-16,81.3,1,24,2000,43654,3549219,海淀区,public_trend_based
2015-02-23,65.9,2,17,2010,43861,2890743,海淀区,public_trend_based
2015-02-23,104.0,3,9,2000,58174,6050928,海淀区,public_trend_based
2015-02-03,65.1,2,12,2020,52975,3446754,海淀区,public_trend_based
2015-02-09,85.3,3,12,2015,60231,5138600,海淀区,public_trend_based
2015-02-23,115.0,2,19,1995,46553,5352478,海淀区,public_trend_based
2015-02-14,86.8,2,15,1995,47180,4094039,海淀区,public_trend_based
2015-02-10,67.5,2,21,2015,52508,3544059,海淀区,public_trend_based
2015-02-24,130.2,2,13,2000,47963,6246009,海淀区,public_trend_based
2015-02-16,94.8,2,21,2000,48656,4612290,海淀区,public_trend_based
2015-02-07,93.5,3,24,2020,61069,5707776,海淀区,public_trend_based
2015-02-01,112.4,3,24,2000,53013,5959421,海淀区,public_trend_based
2015-02-20,85.1,3,23,2010,59199,5040330,海淀区,public_trend_based
2015-02-09,136.4,3,1,1995,46993,6407654,海淀区,public_trend_based
2015-02-01,80.5,2,10,2000,39162,3150694,海淀区,public_trend_based
2015-02-21,78.9,1,1,2015,43111,3403278,海淀区,public_trend_based
2015-02-18,96.4,2,4,2020,46731,4506336,海淀区,public_trend_based
2015-02-02,124.6,2,6,2005,55115,6868990,海淀区,public_trend_based
2015-02-23,98.7,2,21,1995,53677,5299156,海淀区,public_trend_based
2015-02-21,55.5,3,3,2015,50064,2780398,海淀区,public_trend_based
2015-02-24,76.7,1,6,2015,45383,3479566,海淀区,public_trend_based
2015-02-13,97.0,2,5,2020,58051,5633699,海淀区,public_trend_based
2015-02-19,97.0,2,8,2010,39994,3881265,海淀区,public_trend_based
2015-02-17,76.9,2,15,2015,48155,3703265,海淀区,public_trend_based
2015-02-21,90.6,2,24,1995,50053,4536343,海淀区,public_trend_based
2015-02-05,84.8,2,2,2005,46331,3929001,海淀区,public_trend_based
2015-02-22,150.4,3,9,2000,55062,8282800,海淀区,public_trend_based
2015-02-15,48.7,2,3,2015,51551,2508617,海淀区,public_trend_based
2015-02-07,55.6,4,24,2020,69394,3858443,海淀区,public_trend_based
2015-02-17,91.3,2,17,2020,54031,4934724,海淀区,public_trend_based
2015-02-13,78.3,2,6,2020,58341,4569415,海淀区,public_trend_based
2015-02-08,86.6,3,6,2020,52790,4573470,海淀区,public_trend_based
2015-02-04,74.2,3,11,2005,48186,3576305,海淀区,public_trend_based
2015-02-19,90.7,2,7,2000,42830,3882817,海淀区,public_trend_based
2015-02-03,92.2,1,16,2005,49004,4519301,海淀区,public_trend_based
2015-02-06,41.6,1,7,1995,38529,1603406,海淀区,public_trend_based
2015-02-03,50.8,2,3,2010,45399,2304945,海淀区,public_trend_based
2015-02-07,114.2,3,17,1995,48027,5485340,海淀区,public_trend_based
2015-02-21,88.1,2,2,2015,41355,3642164,海淀区,public_trend_based
2015-02-02,88.4,1,5,2000,44762,3955437,海淀区,public_trend_based
2015-02-09,84.7,1,2,2000,41570,3520450,海淀区,public_trend_based
2015-02-01,111.2,2,17,2010,51955,5779107,海淀区,public_trend_based
2015-02-07,76.7,3,17,2015,46445,3562569,海淀区,public_trend_based
2015-02-26,77.5,2,5,2020,56241,4360911,海淀区,public_trend_based
2015-02-18,97.7,2,10,2020,60153,5877639,海淀区,public_trend_based
2015-02-09,127.5,2,21,2000,50999,6502599,海淀区,public_trend_based
2015-02-01,123.0,2,10,2015,53927,6632500,海淀区,public_trend_based
2015-02-22,110.4,1,11,2010,47836,5280241,海淀区,public_trend_based
2015-02-15,40.0,2,7,2020,61309,2452360,海淀区,public_trend_based
2015-02-12,40.0,1,23,2005,54731,2189240,海淀区,public_trend_based
2015-02-26,40.0,3,3,1995,51893,2075720,海淀区,public_trend_based
2015-02-09,90.9,2,15,2000,41975,3816884,海淀区,public_trend_based
2015-02-24,66.2,3,16,2020,59367,3930684,海淀区,public_trend_based
2015-02-10,89.3,3,8,2000,46213,4125608,海淀区,public_trend_based
2015-02-04,68.1,1,4,2020,45541,3101432,海淀区,public_trend_based
2015-02-15,67.3,3,7,2015,51335,3454277,海淀区,public_trend_based
2015-02-06,116.1,3,3,1995,58040,6737735,海淀区,public_trend_based
2015-02-20,74.1,4,18,1995,46909,3477373,海淀区,public_trend_based
2015-02-24,55.3,2,5,2010,51615,2852669,海淀区,public_trend_based
2015-02-02,61.7,3,20,1995,46724,2884645,海淀区,public_trend_based
2015-02-06,106.8,3,16,2000,62504,6672590,海淀区,public_trend_based
2015-02-02,78.4,3,20,2020,43735,3429008,海淀区,public_trend_based
2015-02-06,101.8,2,14,1995,49996,5091212,海淀区,public_trend_based
2015-02-08,75.2,1,20,2015,61770,4647981,海淀区,public_trend_based
2015-02-01,100.4,1,8,2020,43416,4360980,海淀区,public_trend_based
2015-02-14,72.5,4,13,2000,50862,3686002,海淀区,public_trend_based
2015-02-21,52.6,2,24,2010,58426,3073817,海淀区,public_trend_based
2015-02-08,94.5,2,21,2000,49355,4662244,海淀区,public_trend_based
2015-02-23,96.2,4,2,2005,57416,5522263,海淀区,public_trend_based
2015-02-12,86.7,3,23,2015,46150,4000966,海淀区,public_trend_based
2015-02-15,77.6,2,23,2015,49948,3876562,海淀区,public_trend_based
2015-02-16,87.9,3,16,2010,62542,5497002,海淀区,public_trend_based
2015-02-06,75.7,4,8,2010,40516,3068593,海淀区,public_trend_based
2015-02-14,144.9,3,23,2015,58100,8420850,海淀区,public_trend_based
2015-02-20,40.0,1,17,2000,47967,1918680,海淀区,public_trend_based
2015-02-12,124.6,2,8,2015,48451,6037539,海淀区,public_trend_based
2015-02-26,74.0,3,19,1995,56628,4190167,海淀区,public_trend_based
2015-02-10,114.4,3,4,1995,54741,6261285,海淀区,public_trend_based
2015-02-05,93.9,3,8,2020,55835,5241335,海淀区,public_trend_based
2015-02-04,75.8,3,14,2020,60297,4567684,海淀区,public_trend_based
2015-02-06,97.4,2,2,2020,56075,5460873,海淀区,public_trend_based
2015-02-22,95.9,1,3,2015,49382,4737291,海淀区,public_trend_based
2015-02-02,51.8,3,16,2005,52729,2732779,海淀区,public_trend_based
2015-02-19,103.9,1,17,2000,41865,4349013,海淀区,public_trend_based
2015-02-23,96.8,1,12,2010,44854,4343091,海淀区,public_trend_based
2015-02-02,149.5,3,11,2000,38300,5726797,海淀区,public_trend_based
2015-02-15,92.0,3,9,2000,60573,5574226,海淀区,public_trend_based
2015-03-13,93.7,1,8,2010,42733,4005861,海淀区,public_trend_based
2015-03-20,58.4,1,23,2010,57960,3383352,海淀区,public_trend_based
2015-03-20,77.7,3,14,1995,55253,4295361,海淀区,public_trend_based
2015-03-25,102.7,3,19,2005,45679,4692927,海淀区,public_trend_based
2015-03-18,97.4,3,10,2000,37032,3605850,海淀区,public_trend_based
2015-03-01,86.3,1,10,2015,48251,4164711,海淀区,public_trend_based
2015-03-08,120.2,2,17,2010,59774,7182201,海淀区,public_trend_based
2015-03-23,68.2,4,16,2010,48477,3304122,海淀区,public_trend_based
2015-03-13,70.1,2,18,2005,57810,4050398,海淀区,public_trend_based
2015-03-12,80.4,1,21,2010,55170,4437542,海淀区,public_trend_based
2015-03-25,115.5,1,20,2020,53255,6152678,海淀区,public_trend_based
2015-03-15,92.4,2,5,1995,53114,4908234,海淀区,public_trend_based
2015-03-17,72.2,3,3,2015,57828,4177960,海淀区,public_trend_based
2015-03-03,79.8,2,12,2000,55071,4394961,海淀区,public_trend_based
2015-03-03,112.8,2,18,2000,48715,5492929,海淀区,public_trend_based
2015-03-22,107.9,3,14,2015,53982,5823576,海淀区,public_trend_based
2015-03-21,76.3,1,10,2005,43461,3317346,海淀区,public_trend_based
2015-03-01,86.3,1,13,2020,49686,4286556,海淀区,public_trend_based
2015-03-10,101.2,3,17,2000,46260,4680779,海淀区,public_trend_based
2015-03-22,91.7,2,11,2000,53653,4918636,海淀区,public_trend_based
2015-03-27,106.5,2,20,2000,56459,6010693,海淀区,public_trend_based
2015-03-19,103.0,4,16,2000,55952,5765201,海淀区,public_trend_based
2015-03-02,89.9,4,18,2020,56246,5059206,海淀区,public_trend_based
2015-03-08,96.3,1,4,2000,46281,4455446,海淀区,public_trend_based
2015-03-26,105.5,2,15,2000,50225,5299050,海淀区,public_trend_based
2015-03-20,70.9,2,17,2010,53995,3828633,海淀区,public_trend_based
2015-03-05,44.8,2,11,1995,45026,2016505,海淀区,public_trend_based
2015-03-22,60.0,3,17,1995,54724,3285727,海淀区,public_trend_based
2015-03-14,40.0,1,21,1995,36802,1472080,海淀区,public_trend_based
2015-03-10,91.0,3,24,1995,54010,4917001,海淀区,public_trend_based
2015-03-04,95.5,2,16,1995,54899,5242095,海淀区,public_trend_based
2015-03-22,70.4,2,12,1995,49282,3467645,海淀区,public_trend_based
2015-03-13,62.7,1,19,2015,55963,3508436,海淀区,public_trend_based
2015-03-02,131.7,2,15,1995,42304,5570291,海淀区,public_trend_based
2015-03-15,91.8,2,24,2005,51034,4687373,海淀区,public_trend_based
2015-03-06,65.2,3,10,1995,45783,2987177,海淀区,public_trend_based
2015-03-16,53.0,2,4,2005,56229,2981578,海淀区,public_trend_based
2015-03-14,69.3,3,17,2015,71553,4960713,海淀区,public_trend_based
2015-03-08,117.4,2,13,2000,50822,5967376,海淀区,public_trend_based
2015-03-17,93.4,2,9,2015,62100,5797393,海淀区,public_trend_based
2015-03-03,90.0,2,17,2000,47212,4248264,海淀区,public_trend_based
2015-03-08,77.7,2,3,1995,34700,2695252,海淀区,public_trend_based
2015-03-19,147.7,2,12,2005,53510,7900902,海淀区,public_trend_based
2015-03-22,94.0,1,22,2010,48083,4519091,海淀区,public_trend_based
2015-03-04,107.9,3,6,2015,54392,5869390,海淀区,public_trend_based
2015-03-04,105.2,1,14,2015,52342,5505829,海淀区,public_trend_based
2015-03-02,120.1,2,1,2020,49861,5989481,海淀区,public_trend_based
2015-03-10,61.1,3,1,2000,45690,2792235,海淀区,public_trend_based
2015-03-10,120.6,3,3,2010,49465,5967360,海淀区,public_trend_based
2015-03-23,86.4,3,21,2005,47621,4113777,海淀区,public_trend_based
2015-03-01,87.3,2,7,2015,51806,4521916,海淀区,public_trend_based
2015-03-08,89.0,2,24,2000,50863,4526048,海淀区,public_trend_based
2015-03-12,76.8,3,13,2015,54165,4157862,海淀区,public_trend_based
2015-03-13,71.7,2,20,2000,41440,2971331,海淀区,public_trend_based
2015-03-18,79.3,4,15,2020,71685,5686013,海淀区,public_trend_based
2015-03-23,98.3,2,22,2010,51229,5035372,海淀区,public_trend_based
2015-03-06,107.5,1,24,1995,40271,4330995,海淀区,public_trend_based
2015-03-12,117.4,2,13,2005,47935,5628343,海淀区,public_trend_based
2015-03-04,97.8,2,14,2000,39522,3866236,海淀区,public_trend_based
2015-03-19,113.0,2,11,2010,59307,6701715,海淀区,public_trend_based
2015-03-19,69.4,4,24,2010,45776,3176579,海淀区,public_trend_based
2015-03-26,73.2,3,23,2020,61631,4509645,海淀区,public_trend_based
2015-03-13,101.4,2,18,2015,57797,5863048,海淀区,public_trend_based
2015-03-21,78.3,4,6,2015,48639,3810018,海淀区,public_trend_based
2015-03-25,82.1,3,11,2000,38900,3193352,海淀区,public_trend_based
2015-03-24,73.6,4,19,2005,68861,5068955,海淀区,public_trend_based
2015-03-27,77.9,4,7,2000,51201,3987932,海淀区,public_trend_based
2015-03-05,99.0,2,24,1995,49530,4904280,海淀区,public_trend_based
2015-03-19,104.0,2,9,2010,60802,6326441,海淀区,public_trend_based
2015-03-15,86.6,4,20,1995,47135,4081808,海淀区,public_trend_based
2015-03-11,58.3,2,21,2000,50836,2964592,海淀区,public_trend_based
2015-03-06,85.7,4,23,2005,54187,4646395,海淀区,public_trend_based
2015-03-11,129.2,1,3,1995,48755,6298060,海淀区,public_trend_based
2015-03-02,92.8,2,6,2020,53789,4991310,海淀区,public_trend_based
2015-03-18,40.0,1,13,1995,55105,2204200,海淀区,public_trend_based
2015-03-02,56.3,1,24,2015,45141,2541762,海淀区,public_trend_based
2015-03-05,91.3,4,16,1995,52220,4765215,海淀区,public_trend_based
2015-03-19,128.1,3,13,1995,53596,6864810,海淀区,public_trend_based
2015-03-16,103.3,1,12,2015,57370,5926219,海淀区,public_trend_based
2015-03-27,84.2,3,6,1995,48234,4062146,海淀区,public_trend_based
2015-03-19,74.8,2,23,2010,52805,3948743,海淀区,public_trend_based
2015-03-06,40.0,3,12,2000,44989,1799560,海淀区,public_trend_based
2015-03-09,72.1,1,10,2005,51171,3688069,海淀区,public_trend_based
2015-03-15,67.9,2,1,2005,55960,3798602,海淀区,public_trend_based
2015-03-17,41.7,2,18,2010,59925,2500985,海淀区,public_trend_based
2015-03-12,118.4,3,18,2000,49036,5806417,海淀区,public_trend_based
2015-03-07,92.5,1,13,2010,45263,4185062,海淀区,public_trend_based
2015-03-01,63.6,2,8,2020,58620,3727473,海淀区,public_trend_based
2015-03-27,82.3,2,4,2010,58789,4839833,海淀区,public_trend_based
2015-03-16,40.9,3,15,1995,45447,1860468,海淀区,public_trend_based
2015-03-18,51.5,2,24,1995,46564,2399503,海淀区,public_trend_based
2015-03-07,109.3,2,19,2010,48810,5334411,海淀区,public_trend_based
2015-03-04,134.7,2,19,2010,55732,7504412,海淀区,public_trend_based
2015-03-03,107.9,2,4,2010,46249,4989837,海淀区,public_trend_based
2015-03-21,118.7,3,7,2000,44735,5310923,海淀区,public_trend_based
2015-03-07,73.9,1,8,1995,39436,2912839,海淀区,public_trend_based
2015-04-11,91.4,4,5,1995,43842,4008367,海淀区,public_trend_based
2015-04-12,101.8,3,23,2020,53338,5427447,海淀区,public_trend_based
2015-04-06,85.3,2,19,1995,50476,4304549,海淀区,public_trend_based
2015-04-06,55.0,3,6,2000,45172,2486106,海淀区,public_trend_based
2015-04-13,81.9,1,14,2015,57392,4697564,海淀区,public_trend_based
2015-04-02,107.1,1,19,2000,48961,5244162,海淀区,public_trend_based
2015-04-13,144.7,3,23,1995,44581,6449809,海淀区,public_trend_based
2015-04-01,86.7,1,18,2005,48129,4174348,海淀区,public_trend_based
2015-04-26,85.4,3,8,2005,58978,5039646,海淀区,public_trend_based
2015-04-21,93.8,3,10,1995,49083,4603161,海淀区,public_trend_based
2015-04-02,96.6,4,23,2010,49642,4795380,海淀区,public_trend_based
2015-04-08,91.0,1,20,2000,55335,5034761,海淀区,public_trend_based
2015-04-07,139.1,2,20,2015,56326,7837196,海淀区,public_trend_based
2015-04-04,67.5,3,1,2010,54920,3708473,海淀区,public_trend_based
2015-04-18,86.4,2,7,2010,50556,4365680,海淀区,public_trend_based
2015-04-08,105.6,2,15,2010,50825,5366696,海淀区,public_trend_based
2015-04-26,82.4,3,6,2005,38156,3145863,海淀区,public_trend_based
2015-04-18,87.7,3,22,2015,49076,4303619,海淀区,public_trend_based
2015-04-04,67.6,2,2,2020,53455,3612457,海淀区,public_trend_based
2015-04-19,131.1,1,18,2010,46448,6089502,海淀区,public_trend_based
2015-04-21,104.9,1,3,2020,51212,5374681,海淀区,public_trend_based
2015-04-26,71.6,4,16,2015,57118,4088371,海淀区,public_trend_based
2015-04-07,63.7,3,24,2015,56530,3599128,海淀区,public_trend_based
2015-04-11,88.4,2,15,2005,47179,4169184,海淀区,public_trend_based
2015-04-12,86.1,3,15,2010,64247,5533603,海淀区,public_trend_based
2015-04-23,90.3,2,12,2010,52285,4723849,海淀区,public_trend_based
2015-04-10,70.0,4,9,2015,56610,3962478,海淀区,public_trend_based
2015-04-08,102.3,2,5,2005,54499,5575378,海淀区,public_trend_based
2015-04-11,93.8,4,3,2005,48448,4542740,海淀区,public_trend_based
2015-04-23,97.7,2,3,2010,46857,4579688,海淀区,public_trend_based
2015-04-04,58.9,3,7,2020,53380,3144219,海淀区,public_trend_based
2015-04-10,115.3,3,14,2005,59888,6907456,海淀区,public_trend_based
2015-04-20,122.6,1,12,2000,47177,5784792,海淀区,public_trend_based
2015-04-14,119.9,3,7,2020,48238,5784955,海淀区,public_trend_based
2015-04-20,70.6,3,4,1995,42253,2984402,海淀区,public_trend_based
2015-04-06,122.8,1,18,2015,52275,6421235,海淀区,public_trend_based
2015-04-22,80.9,4,19,2010,57322,4640149,海淀区,public_trend_based
2015-04-24,43.2,3,19,2015,63286,2735636,海淀区,public_trend_based
2015-04-10,113.6,3,10,1995,48539,5514802,海淀区,public_trend_based
2015-04-26,59.0,2,23,2005,50995,3010861,海淀区,public_trend_based
2015-04-22,92.6,2,11,2010,54871,5081858,海淀区,public_trend_based
2015-04-21,85.9,3,6,2015,61884,5312853,海淀区,public_trend_based
2015-04-01,68.6,1,12,2005,37879,2597781,海淀区,public_trend_based
2015-04-10,82.0,2,15,2010,54836,4496682,海淀区,public_trend_based
2015-04-16,74.4,2,8,2000,44101,3282750,海淀区,public_trend_based
2015-04-15,112.3,1,12,2000,50335,5652321,海淀区,public_trend_based
2015-04-16,135.2,2,16,2020,54687,7391608,海淀区,public_trend_based
2015-04-26,63.3,1,12,2000,35607,2254032,海淀区,public_trend_based
2015-04-23,119.3,3,9,2005,47259,5638400,海淀区,public_trend_based
2015-04-02,61.6,3,21,2005,49935,3075786,海淀区,public_trend_based
2015-04-07,99.9,2,12,2005,55654,5557337,海淀区,public_trend_based
2015-04-22,73.6,3,6,2015,52126,3836724,海淀区,public_trend_based
2015-04-05,80.3,2,12,2015,51135,4104421,海淀区,public_trend_based
2015-04-12,46.9,3,7,1995,53082,2490318,海淀区,public_trend_based
2015-04-05,61.6,3,2,2005,50515,3109729,海淀区,public_trend_based
2015-04-07,126.1,4,23,2020,64023,8075253,海淀区,public_trend_based
2015-05-07,101.8,3,9,2020,56521,5752619,海淀区,public_trend_based
2015-05-19,135.3,3,21,2000,47483,6426565,海淀区,public_trend_based
2015-05-08,79.0,2,1,2000,40607,3208018,海淀区,public_trend_based
2015-05-18,114.7,4,1,1995,51127,5866470,海淀区,public_trend_based
2015-05-19,115.8,2,21,2015,65090,7540447,海淀区,public_trend_based
2015-05-02,73.8,2,23,2005,61550,4542219,海淀区,public_trend_based
2015-05-02,40.0,3,24,2005,58261,2330440,海淀区,public_trend_based
2015-05-18,84.3,2,19,2010,50233,4236776,海淀区,public_trend_based
2015-05-23,95.3,1,4,2015,61936,5901392,海淀区,public_trend_based
2015-05-01,84.8,3,18,2005,51122,4334355,海淀区,public_trend_based
2015-05-23,70.8,2,11,2015,47537,3365635,海淀区,public_trend_based
2015-05-07,72.0,1,12,2015,54642,3934298,海淀区,public_trend_based
2015-05-10,99.8,3,7,1995,51251,5113195,海淀区,public_trend_based
2015-05-15,92.2,1,18,2005,45861,4230224,海淀区,public_trend_based
2015-05-25,62.7,4,10,2010,50937,3192209,海淀区,public_trend_based
2015-05-01,56.3,2,8,2015,63536,3574005,海淀区,public_trend_based
2015-05-04,105.5,1,21,2000,59146,6242714,海淀区,public_trend_based
2015-05-15,102.7,3,3,2015,56564,5809645,海淀区,public_trend_based
2015-05-11,68.9,2,3,2020,56820,3912922,海淀区,public_trend_based
2015-05-27,75.9,1,12,2015,49395,3750254,海淀区,public_trend_based
2015-05-08,104.5,2,23,1995,40051,4183444,海淀区,public_trend_based
2015-05-02,104.1,2,21,2010,58749,6114169,海淀区,public_trend_based
2015-05-11,84.7,4,21,2005,65613,5557043,海淀区,public_trend_based
2015-05-25,100.3,4,6,2020,58974,5912285,海淀区,public_trend_based
2015-05-02,51.1,2,6,2020,52084,2661827,海淀区,public_trend_based
2015-05-27,64.4,3,2,2010,51501,3315490,海淀区,public_trend_based
2015-05-04,85.9,2,8,1995,43402,3727633,海淀区,public_trend_based
2015-05-23,122.6,2,7,2005,54576,6691376,海淀区,public_trend_based
2015-05-09,87.0,2,14,2000,50176,4366793,海淀区,public_trend_based
2015-05-24,79.8,2,5,2000,53000,4230820,海淀区,public_trend_based
2015-05-09,64.1,2,12,2005,62424,4003789,海淀区,public_trend_based
2015-05-19,67.1,3,4,2010,55930,3753403,海淀区,public_trend_based
2015-05-20,79.2,2,9,1995,44962,3560774,海淀区,public_trend_based
2015-05-07,90.6,2,5,2015,43922,3979659,海淀区,public_trend_based
2015-05-04,95.0,1,10,2010,49262,4678986,海淀区,public_trend_based
2015-05-09,96.5,2,23,1995,46262,4464107,海淀区,public_trend_based
2015-05-22,40.0,2,18,2005,55643,2225720,海淀区,public_trend_based
2015-05-19,125.8,2,3,1995,47485,5974781,海淀区,public_trend_based
2015-05-05,138.3,3,4,2020,46120,6380679,海淀区,public_trend_based
2015-05-18,95.2,2,20,2010,61130,5820357,海淀区,public_trend_based
2015-05-11,102.0,3,17,2010,54957,5604508,海淀区,public_trend_based
2015-05-04,128.2,2,15,2005,55503,7115470,海淀区,public_trend_based
2015-05-22,109.6,3,5,2000,51411,5635327,海淀区,public_trend_based
2015-05-11,66.7,2,24,1995,50331,3357014,海淀区,public_trend_based
2015-05-13,107.4,3,21,2010,47421,5092955,海淀区,public_trend_based
2015-05-02,107.9,2,4,2015,58537,6318212,海淀区,public_trend_based
2015-05-24,127.4,4,1,2015,53481,6812710,海淀区,public_trend_based
2015-05-09,58.4,1,3,2005,45283,2642939,海淀区,public_trend_based
2015-05-01,111.6,4,21,2005,63331,7069303,海淀区,public_trend_based
2015-05-26,103.2,2,20,2005,54140,5586660,海淀区,public_trend_based
2015-05-02,111.3,3,14,2020,56228,6260709,海淀区,public_trend_based
2015-05-15,58.3,2,20,2010,49875,2905284,海淀区,public_trend_based
2015-05-01,97.0,3,6,1995,42930,4162112,海淀区,public_trend_based
2015-05-05,57.1,2,10,2010,60429,3451811,海淀区,public_trend_based
